"Estimate","Std..Error","z.value","Pr...z..","CI_l","CI_H","study","N","name","analysis"
1.11720337464801,0.265593218243322,4.20644541316748,2.59418706672642e-05,0.629417969634801,1.67932059646312,"COAD",1,"PICLORAM","GW"
0.835788348504589,0.25499160832555,3.27770923126823,0.00104653137861045,0.361590000426979,1.3671529916662,"COAD",1,"smoking_sm13","GW"
-0.710903884516695,0.246774305692732,-2.88078567386131,0.00396685285414304,-1.2247523381715,-0.249938144871358,"COAD",1,"education","GW"
-0.582576249182746,0.219154022507606,-2.65829594418021,0.00785368942243173,-1.03741556242652,-0.166627833900987,"COAD",1,"MDS","GW"
0.47872811844824,0.202860729776485,2.35988561697333,0.0182805706200094,0.0932633840113523,0.903404946812992,"COAD",1,"HEPTACHLOR","GW"
-0.512483760840534,0.21873857214218,-2.34290530390506,0.0191342388668463,-0.958825202488634,-0.0941028977700239,"COAD",1,"BMI","GW"
-0.475095367720749,0.223439005494721,-2.12628661978167,0.0334794014650195,-0.932463886318179,-0.0483024838642024,"COAD",1,"Obesity","GW"
0.478494281087406,0.232380852624402,2.05909512631317,0.0394851266366819,0.0415956543674597,0.959733008825409,"COAD",1,"METOLACHLOR","GW"
-0.418683958454519,0.207226899358035,-2.02041317875022,0.0433405475609806,-0.849439349398516,-0.0201199341765356,"COAD",1,"MESOTRIONE","GW"
0.28222814120422,0.222764547965995,1.26693472449352,0.205178631145735,-0.14085184966143,0.739041168987278,"COAD",1,"coffee","GW"
0.227390678698247,0.210248099834009,1.08153500021057,0.279459200389365,-0.184006044977599,0.64584918321438,"COAD",1,"ACETOCHLOR","GW"
0.222712487023343,0.211422508830187,1.0534000767261,0.292157669040758,-0.187684546086284,0.64810239433801,"COAD",1,"AHEI","GW"
0.314283080336928,0.429841255814813,0.731160808985561,0.464680935221573,-0.538463030593196,1.17024018785312,"COAD",1,"PCB","GW"
0.110245279728977,0.208080807000588,0.529819550962553,0.596237048485239,-0.292537994177109,0.529952458744528,"COAD",1,"smoking","GW"
-0.0752327415113725,0.203719576544206,-0.369295591457542,0.71190741119514,-0.478054309150379,0.329905222804801,"COAD",1,"Alcohol","GW"
0.0674344899526453,0.210933647019173,0.319695273398064,0.749199343181442,-0.344270533762204,0.488577283479978,"COAD",1,"pm10","GW"
-0.0538869392620418,0.208406174793403,-0.258566903382114,0.795969422254368,-0.461358591104785,0.362809585402899,"COAD",1,"NO2","GW"
0.0332379887578517,0.207523624280076,0.160164843271017,0.872751222831998,-0.376536576618587,0.443566627968488,"COAD",1,"pm2_5","GW"
0.00169753843668814,0.204982518757164,0.00828138149038533,0.993392489092048,-0.397675370036298,0.413271434192683,"COAD",1,"dicamba","GW"
1.05340993023904,0.266946761009535,3.94614239279499,7.94203934502482e-05,0.564841899323518,1.61760256847988,"COAD",1,"PICLORAM","P1E5"
-0.792272990928576,0.237309073178563,-3.33857016218015,0.000842107606997378,-1.28791705880213,-0.350273468853181,"COAD",1,"Obesity","P1E5"
-0.537411495862844,0.22286259404003,-2.41140285644488,0.0158912845914745,-0.99504444237762,-0.113792468320761,"COAD",1,"BMI","P1E5"
-0.404028398916179,0.198648038259733,-2.03389070667746,0.0419626161719507,-0.80298765668983,-0.013496844927018,"COAD",1,"ATRAZINE","P1E5"
0.428265452962832,0.210719369277578,2.03239718508593,0.0421134628404972,0.0183356587255593,0.850419521842056,"COAD",1,"TOXAPHENE","P1E5"
0.411849090381684,0.216709514376395,1.90046612197358,0.0573719767670845,-0.00345962960971646,0.853344567592592,"COAD",1,"AHEI","P1E5"
0.832264581925459,0.442795045256491,1.87957067460718,0.0601666130667797,-0.0168203260742812,1.73980060622939,"COAD",1,"PCB","P1E5"
0.305416356340387,0.190618054755695,1.60224254062304,0.109101986304399,-0.072636789170038,0.692553806639309,"COAD",1,"DDT","P1E5"
0.323173380962232,0.215278914464484,1.50118455291425,0.133307834159163,-0.0920955081701723,0.757752265741666,"COAD",1,"ACETOCHLOR","P1E5"
0.316196728373897,0.215054830297777,1.47030749291273,0.141478492615398,-0.0987895230088053,0.749777935537112,"COAD",1,"MESOTRIONE","P1E5"
0.286703716494616,0.205886480543222,1.39253299069546,0.163761058650702,-0.118894655790421,0.694762295142635,"COAD",1,"CHLORDANE","P1E5"
-0.274732449320395,0.21275220188139,-1.29132599752626,0.196590659468617,-0.70319772152612,0.136475238403084,"COAD",1,"birthweight","P1E5"
0.143609460703729,0.211633724439595,0.678575501536943,0.497406869815593,-0.267788883060041,0.567860348134732,"COAD",1,"LINDANE","P1E5"
-0.134203224555277,0.213774761961964,-0.627778617660936,0.530148975322603,-0.560350352760162,0.283958638625199,"COAD",1,"dicamba","P1E5"
0.125765736038592,0.208844981020971,0.602196593012515,0.547043283273332,-0.277873642941661,0.54757564136446,"COAD",1,"Alcohol","P1E5"
0.105798150879287,0.212104067905074,0.498803025911962,0.617918155658078,-0.30976614704862,0.527541957227213,"COAD",1,"pm10","P1E5"
-0.10054398583753,0.207813553997621,-0.483818229867149,0.628514876230519,-0.509061875229095,0.311747575695348,"COAD",1,"METOLACHLOR","P1E5"
-0.0637111922558394,0.211218924699107,-0.301635813867529,0.762929703338626,-0.488483965630179,0.345834423435493,"COAD",1,"GLYPHOSATE","P1E5"
0.0612936249218036,0.209893331012593,0.292022736625806,0.770269239967177,-0.353699401398846,0.475358840885024,"COAD",1,"A_2_4_D","P1E5"
-0.0569069848961889,0.210234577276015,-0.270683279760762,0.786634637708206,-0.472939163726928,0.357811649836596,"COAD",1,"MALATHION","P1E5"
0.0554158405417984,0.217697170218863,0.254554712337721,0.799067041353652,-0.37297580440029,0.486164364587204,"COAD",1,"pm2_510","P1E5"
-0.0396730511615108,0.207651351522922,-0.191056070045041,0.848481664604623,-0.449866700013281,0.369947948952486,"COAD",1,"MDS","P1E5"
-0.0283094260218973,0.209111203318969,-0.135379767188826,0.892311620298202,-0.443366502361275,0.382123106892992,"COAD",1,"pm2_5","P1E5"
-0.0196556390682936,0.206539262675094,-0.0951665984167564,0.924182500143473,-0.436658915438524,0.380705440903432,"COAD",1,"HEPTACHLOR","P1E5"
-0.00390751568777299,0.205190129528892,-0.0190433901316037,0.984806491356975,-0.40574636097038,0.405709078308088,"COAD",1,"smoking","P1E5"
-0.000657976659848064,0.209702920575156,-0.00313766092548172,0.997496512898294,-0.416140758388319,0.412986251315022,"COAD",1,"NO2","P1E5"
0.45268915211081,0.194635282165533,2.32583294803564,0.0200274642073783,0.0707853928208649,0.84218751412629,"COAD",1,"pm10","F001"
0.905725260152621,0.452391256412821,2.00208392030928,0.0452757066003635,0.0413916151812367,1.83628441057169,"COAD",1,"PCB","F001"
-0.424477372551128,0.221269160514909,-1.91837566321189,0.0550633946448508,-0.876002750815744,-0.00256939137471472,"COAD",1,"BMI","F001"
-0.306032322962554,0.20478068802307,-1.49443937275998,0.135060817083681,-0.721855825741608,0.096711817280646,"COAD",1,"MESOTRIONE","F001"
-0.219708124520712,0.214131039593351,-1.02604519614696,0.304870280822927,-0.6527386898476,0.193070931881072,"COAD",1,"Obesity","F001"
-0.130331620028646,0.204424194863954,-0.63755476750383,0.523763547975601,-0.535051038911826,0.273325203698188,"COAD",1,"smoking","F001"
0.00404967047413106,0.209229676194244,0.0193551438199017,0.984557793743983,-0.409211782767021,0.418004377491211,"COAD",1,"NO2","F001"
-0.00247190548513248,0.208615519515108,-0.0118490968019926,0.990546009827845,-0.415123889021191,0.408918400120625,"COAD",1,"pm2_5","F001"
0.822000807846133,0.243510942554764,3.37562164238788,0.000736491263887658,0.373130888740349,1.33549599408748,"COAD",1,"PICLORAM","F005"
0.455664905997818,0.201910394998442,2.25676793907185,0.0240225790801498,0.0699368871709955,0.876705254438672,"COAD",1,"HEPTACHLOR","F005"
0.952868942028247,0.445760608605547,2.13762482290453,0.0325472054136654,0.104998160829302,1.87407213002067,"COAD",1,"PCB","F005"
-0.402737069649157,0.220470980176921,-1.82671238330765,0.0677430253773629,-0.852297053845204,0.0180028707897325,"COAD",1,"BMI","F005"
-0.247558462795042,0.205983665688902,-1.20183540751688,0.229427304167312,-0.659382937431706,0.154802805557201,"COAD",1,"smoking","F005"
-0.235270032157035,0.214394867811675,-1.09736783607944,0.272480627726571,-0.6692414149025,0.177466197428596,"COAD",1,"Obesity","F005"
0.218555960027765,0.21140393091789,1.03383110748614,0.301215126318128,-0.191378718255867,0.643159789883939,"COAD",1,"MESOTRIONE","F005"
-0.215995250003296,0.212251973439047,-1.01763600358384,0.308850970666971,-0.64016155631077,0.198803553750513,"COAD",1,"NO2","F005"
0.16412295752888,0.213425091037542,0.768995607456529,0.441895918153857,-0.249415427763522,0.593510577109108,"COAD",1,"pm10","F005"
0.105803135849564,0.209615065292607,0.504749673893288,0.61373466707146,-0.305667883448244,0.521765835703567,"COAD",1,"ACETOCHLOR","F005"
-0.0253941491409327,0.212886146707741,-0.119285118048545,0.905049473391078,-0.4452404527385,0.395260631585319,"COAD",1,"pm2_5","F005"
1.00065211292488,0.259023072752294,3.86317752427335,0.000111921610391751,0.524684082309556,1.54645975570674,"COAD",1,"PICLORAM","F01"
-0.588211422594564,0.234186377582529,-2.51172347711503,0.0120143189113337,-1.08229646946123,-0.152311947833348,"COAD",1,"MALATHION","F01"
-0.305069263498693,0.211070389198054,-1.44534372944391,0.148361360579576,-0.727504551053525,0.105451639697646,"COAD",1,"METOLACHLOR","F01"
0.308316433790368,0.215152514121989,1.43301339075014,0.15185401056203,-0.106980696948165,0.742342938585273,"COAD",1,"MESOTRIONE","F01"
-0.247897185233365,0.2060132925894,-1.20330674840212,0.228857638568647,-0.659802283060039,0.15449669119212,"COAD",1,"smoking","F01"
0.230169539703397,0.210437971205561,1.09376429731192,0.274058366405627,-0.18283382688587,0.650638775861145,"COAD",1,"pm2_5","F01"
-0.215569878826221,0.212235900880322,-1.01570883122069,0.309768061352607,-0.639687451338361,0.199205404714385,"COAD",1,"NO2","F01"
0.058565060293628,0.208959396951532,0.280270048382711,0.779270328206117,-0.348901278078369,0.476654055490865,"COAD",1,"ACETOCHLOR","F01"
-0.0555192999740627,0.208739788105952,-0.265973729674778,0.790259441196938,-0.478849838190575,0.346622753890111,"COAD",1,"HEPTACHLOR","F01"
