"beta","se","z.value","pvalue","CI_L","CI_H","study","name","SampleID"
-0.791839578556216,0.372797952030434,-2.12404487268099,0.0336663915241437,-1.58049123229806,-0.09355422858677,"READ","pm2_5","F001"
-1.01998824385025,0.698250045020446,-1.46077791347708,0.144076398961617,-2.60196217542983,0.243786690828205,"READ","PCB","F001"
0.272018115503864,0.377543693397121,0.720494396439939,0.471220648608199,-0.425911015061558,1.08152168269367,"READ","MESOTRIONE","F001"
-0.2055385793662,0.395184508770962,-0.520107885821316,0.602988382401354,-1.10690162048241,0.481592751063366,"READ","pm10","F001"
-0.187762531972558,0.376160507605,-0.499155355696522,0.61766994293025,-0.958170438503357,0.542410017314533,"READ","smoking","F001"
0.0202731460972415,0.337387002414357,0.0600886991857004,0.952084990443534,-0.646150492185452,0.70537779214565,"READ","NO2","F001"
-0.0168346837158446,0.340160117973501,-0.0494904688301998,0.960528432665267,-0.683279931391061,0.682033253161583,"READ","BMI","F001"
-0.00340344400708612,0.3438984345487,-0.00989665455020894,0.99210374102923,-0.694227807038809,0.681136983656632,"READ","Obesity","F001"
-0.925674397319801,0.411290310744196,-2.25065938374495,0.0244071191267556,-1.82838946498688,-0.180419626419912,"READ","pm10","F005"
-0.755394903086537,0.687693514891485,-1.09844703596737,0.272009333073248,-2.26015013485511,0.523711539401014,"READ","PCB","F005"
-0.339469863854383,0.334319961681592,-1.01540411211729,0.30991323368757,-1.04184613969211,0.317341353709612,"READ","pm2_5","F005"
0.34428764331754,0.344167825367917,1.00034813814887,0.317142058709579,-0.316194138336182,1.06870794675212,"READ","PICLORAM","F005"
-0.297448965816346,0.349512102980679,-0.851040531299682,0.394746838153958,-1.02042980684601,0.382313599767528,"READ","ACETOCHLOR","F005"
-0.317849099437584,0.386018053498173,-0.823404751558046,0.410277861896592,-1.12026824408082,0.420478248052699,"READ","smoking","F005"
-0.104401296901076,0.333535131935236,-0.313014393102516,0.754269727124254,-0.775628235098079,0.562994659230386,"READ","NO2","F005"
0.0674062749080921,0.347390026947396,0.194036298337083,0.846147460029276,-0.615453706904411,0.775841316471574,"READ","MESOTRIONE","F005"
0.0475632749849317,0.342579451843085,0.138838668603853,0.889577636757779,-0.638106827965366,0.73058448318191,"READ","Obesity","F005"
-0.0180919707038082,0.331131870368396,-0.0546367544860005,0.956427856632714,-0.683649862804686,0.648913709918309,"READ","HEPTACHLOR","F005"
-0.000698744739906256,0.340570716926008,-0.00205168766772766,0.998362991234807,-0.66684989348435,0.700141549482931,"READ","BMI","F005"
-0.779791459901193,0.394168804992347,-1.97831855292641,0.0478927814144521,-1.63294684470604,-0.056057483700803,"READ","pm2_5","F01"
0.362530213507874,0.349388961831152,1.03761209743962,0.299450683530348,-0.301227596710833,1.10545373515871,"READ","PICLORAM","F01"
-0.31813449885581,0.386055097880009,-0.824065011970624,0.409902619058171,-1.12066619761928,0.42021748518013,"READ","smoking","F01"
-0.161108517769854,0.361826290753642,-0.445264818745712,0.656128389081459,-0.888737951052066,0.556898716310852,"READ","METOLACHLOR","F01"
-0.139016196026109,0.340931416485339,-0.407754138527996,0.683454186503383,-0.827508190219185,0.534960851191841,"READ","MALATHION","F01"
-0.134940670213294,0.343309031669651,-0.393058899607221,0.694275979382666,-0.818767283206487,0.567268035878569,"READ","ACETOCHLOR","F01"
-0.10771037106717,0.333549088912411,-0.322922096469747,0.746754241506602,-0.77932086835619,0.559353503940086,"READ","NO2","F01"
0.0897528499918163,0.346011482796876,0.259392692017984,0.79533226773162,-0.590769055192236,0.806265577412548,"READ","MESOTRIONE","F01"
-0.0146700482241873,0.33632625986667,-0.0436185037409895,0.965208501881924,-0.686939741154646,0.658659190395415,"READ","HEPTACHLOR","F01"
-0.971936736403856,0.413748055660313,-2.34910284920303,0.0188187078887563,-1.87753589611783,-0.221196267056306,"READ","pm10","GW"
-0.836183860257149,0.386982676019001,-2.16077853628799,0.0307124508369825,-1.65699705248437,-0.115097723742675,"READ","pm2_5","GW"
0.584285360735067,0.391492587513971,1.49245574340336,0.135579711019075,-0.131091123208437,1.43138527331401,"READ","METOLACHLOR","GW"
0.539905943609723,0.383460362543882,1.40798370926262,0.159135893902938,-0.179871206883427,1.38241083953344,"READ","smoking_sm13","GW"
0.527475418678493,0.376201370766128,1.4021092416657,0.160882627771156,-0.174481287521407,1.32926945200348,"READ","coffee","GW"
-0.519492135045897,0.370788233136313,-1.40104806091545,0.161199701654506,-1.31143396361459,0.183407316504287,"READ","MDS","GW"
-0.871188628161801,0.637182840699139,-1.36725061083864,0.171546766602409,-2.26261000301542,0.316634777693004,"READ","PCB","GW"
-0.480213332935292,0.375655142229651,-1.27833557684064,0.201131128705412,-1.2868782812161,0.219653167757578,"READ","AHEI","GW"
0.330703955628999,0.344121273714338,0.961009913916343,0.336547183088609,-0.337231217751805,1.04070510010901,"READ","PICLORAM","GW"
0.292195167254731,0.385835304603199,0.757305419614802,0.448866904725835,-0.424402884917923,1.12795363377249,"READ","NO2","GW"
-0.264659281192828,0.350380954674907,-0.75534722324844,0.450040671045213,-0.982007443712768,0.418861172887757,"READ","education","GW"
-0.202189141204811,0.34184913092273,-0.591457233367994,0.554214101995409,-0.896807474122343,0.478141782626081,"READ","BMI","GW"
-0.149707612129426,0.346165813087765,-0.432473706152693,0.665397158570338,-0.860205787576406,0.532119584039822,"READ","ACETOCHLOR","GW"
0.12550412654557,0.340783225659182,0.368281409106347,0.712663413279197,-0.534793085622808,0.830440488144384,"READ","Obesity","GW"
0.104695284319673,0.366221434201539,0.285879728880254,0.774970240107452,-0.619008660103879,0.84870857391087,"READ","smoking","GW"
-0.0387708612996558,0.369573608960325,-0.104907007317771,0.91644959861812,-0.801043387971748,0.678107748858404,"READ","Alcohol","GW"
0.0271032532169298,0.350384354614427,0.07735292075685,0.938342792304084,-0.642388261049082,0.76769248148616,"READ","MESOTRIONE","GW"
0.016805522376433,0.331321486631165,0.0507227060560105,0.959546483119312,-0.64874367020657,0.686731819305085,"READ","HEPTACHLOR","GW"
0.00433975112359026,0.337949497729977,0.0128414190662823,0.989754311578148,-0.678317451562286,0.689919079948822,"READ","dicamba","GW"
-0.816892092670652,0.41583061196405,-1.96448281864654,0.0494741268457114,-1.7193073836667,-0.0594954315197364,"READ","pm10","P1E5"
-0.661165611787371,0.394930564237701,-1.67413128194714,0.0941048010668827,-1.51767857388107,0.0620917448869048,"READ","pm2_5","P1E5"
-0.947891739652872,0.712385509825236,-1.33058818094912,0.183324553568139,-2.57581118108154,0.334208845128491,"READ","PCB","P1E5"
0.39508368193614,0.358041741174933,1.10345704564963,0.269828735361824,-0.278768044811679,1.16299045006241,"READ","PICLORAM","P1E5"
-0.381392890082812,0.346944163587124,-1.09929184609856,0.271640787810203,-1.08863638592545,0.294252205542119,"READ","LINDANE","P1E5"
-0.416530505707943,0.396081798276203,-1.05162748583938,0.292970492196007,-1.25396908033994,0.321115951838409,"READ","pm2_510","P1E5"
-0.318139546651466,0.329776447721193,-0.964712758748724,0.334688702944184,-0.988744840020319,0.343239450016779,"READ","ATRAZINE","P1E5"
-0.413191418931777,0.458314088192972,-0.901546405786689,0.367297871892857,-1.59704500097924,0.35388771065068,"READ","DDT","P1E5"
-0.28140328708403,0.357303146574269,-0.787575731649867,0.430944914587745,-1.02390680149886,0.396683178604639,"READ","AHEI","P1E5"
0.23698701404252,0.340825935226643,0.695331515440361,0.486847568203592,-0.439110262080967,0.924620639932274,"READ","dicamba","P1E5"
-0.21935333632231,0.359730602482746,-0.609771130975244,0.542013427709974,-0.972558746253091,0.46850440163414,"READ","ACETOCHLOR","P1E5"
0.179950246559372,0.345258812873211,0.521203919638845,0.602224723940239,-0.499350631120436,0.891020687014249,"READ","CHLORDANE","P1E5"
-0.162766340893456,0.346356446158979,-0.469938823713261,0.6383987256313,-0.867907138245936,0.521450117515768,"READ","BMI","P1E5"
-0.137329051026051,0.331661775090696,-0.414063547083463,0.67882756839507,-0.813294597577221,0.51546371628475,"READ","Obesity","P1E5"
0.131839158460931,0.350655094402972,0.375979589531992,0.706932069851356,-0.549381463111512,0.863364412722627,"READ","MESOTRIONE","P1E5"
0.11453435642417,0.34953086037209,0.327680240600911,0.743153444965049,-0.570526395747918,0.825504129387942,"READ","A_2_4_D","P1E5"
0.0792321084680743,0.33975479023709,0.233203800931795,0.815603154497576,-0.583196768151999,0.774653370140112,"READ","birthweight","P1E5"
-0.0736401451040942,0.369033511392991,-0.199548666532003,0.84183357835193,-0.820979622897616,0.65291841538734,"READ","smoking","P1E5"
0.0555231334034916,0.35063898283964,0.158348432777893,0.874182245687428,-0.609505634768141,0.800477795499046,"READ","GLYPHOSATE","P1E5"
0.0525913594101943,0.348574916440271,0.150875341080964,0.880074052756658,-0.645855297870506,0.749779857059953,"READ","MALATHION","P1E5"
0.0416917111724047,0.340914320076287,0.122293810254363,0.902666333906504,-0.623283991789088,0.738838980786309,"READ","NO2","P1E5"
0.0188179232744953,0.354031536377193,0.0531532401521607,0.957609811864659,-0.706421405860033,0.710752340917774,"READ","Alcohol","P1E5"
-0.0129449862284532,0.335553951916937,-0.0385779578947043,0.969226876259988,-0.690449409567072,0.650686767392367,"READ","MDS","P1E5"
-0.010416405072908,0.342919608719181,-0.0303756472597578,0.975767466563113,-0.701280459016798,0.665133638450625,"READ","TOXAPHENE","P1E5"
0.00709160364066409,0.337229982459822,0.021028983214768,0.983222535522509,-0.665623495634341,0.683137553929635,"READ","HEPTACHLOR","P1E5"
0.00588699168630443,0.371866740971051,0.0158309174704137,0.987369282949947,-0.729576406002681,0.75557123125064,"READ","METOLACHLOR","P1E5"
