"Tumor_Sample_Barcode","total","total_perMB","total_perMB_log"
"TCGA-AZ-4323-01A-21D-1835-10",33,0.868421052631579,-0.0612696567389227
"TCGA-CA-5255-01A-11D-1835-10",36,0.947368421052632,-0.0234810958495229
"TCGA-A6-2685-01A-01D-1408-10",39,1.02631578947368,0.0112810104096891
"TCGA-A6-5664-01A-21D-1835-10",41,1.07894736842105,0.0330002601029253
"TCGA-A6-A567-01A-31D-A28G-10",43,1.13157894736842,0.0536848589627764
"TCGA-A6-5667-01A-21D-1719-10",47,1.23684210526316,0.0923142613189073
"TCGA-CM-5344-01A-21D-1719-10",47,1.23684210526316,0.0923142613189073
"TCGA-CK-5912-01A-11D-1650-10",48,1.26315789473684,0.101457640758777
"TCGA-DM-A1DB-01A-11D-A152-10",48,1.26315789473684,0.101457640758777
"TCGA-A6-5662-01A-01D-1650-10",49,1.28947368421053,0.110412483411704
"TCGA-CM-6679-01A-11D-1835-10",50,1.31578947368421,0.119186407719209
"TCGA-D5-5541-01A-01D-1650-10",51,1.34210526315789,0.127786579481126
"TCGA-AM-5820-01A-01D-1650-10",52,1.36842105263158,0.136219747017989
"TCGA-G4-6321-01A-11D-1719-10",52,1.36842105263158,0.136219747017989
"TCGA-CA-5797-01A-01D-1650-10",53,1.39473684210526,0.144492272983979
"TCGA-AZ-4308-01A-01D-1408-10",54,1.42105263157895,0.152610163206158
"TCGA-AD-6963-01A-11D-1924-10",55,1.44736842105263,0.160579092877434
"TCGA-F4-6805-01A-11D-1835-10",55,1.44736842105263,0.160579092877434
"TCGA-AY-A8YK-01A-11D-A40P-10",56,1.47368421052632,0.16840443038939
"TCGA-AZ-4684-01A-01D-1408-10",57,1.5,0.176091259055681
"TCGA-AZ-6607-01A-11D-1835-10",57,1.5,0.176091259055681
"TCGA-G4-6307-01A-11D-1719-10",57,1.5,0.176091259055681
"TCGA-AZ-5403-01A-01D-1650-10",58,1.52631578947368,0.183644396946127
"TCGA-A6-2671-01A-01D-1408-10",59,1.55263157894737,0.191068415025334
"TCGA-CM-6164-01A-11D-1650-10",59,1.55263157894737,0.191068415025334
"TCGA-CM-6675-01A-11D-1835-10",59,1.55263157894737,0.191068415025334
"TCGA-AA-3488-01A-01D-1408-10",61,1.60526315789474,0.205546238393957
"TCGA-CK-5915-01A-11D-1650-10",62,1.63157894736842,0.212608092881444
"TCGA-G4-6298-01A-11D-1719-10",62,1.63157894736842,0.212608092881444
"TCGA-AD-A5EK-01A-11D-A28G-10",63,1.65789473684211,0.219556952836772
"TCGA-CA-5256-01A-01D-1408-10",63,1.65789473684211,0.219556952836772
"TCGA-AZ-4682-01B-01D-1408-10",64,1.68421052631579,0.226396377367077
"TCGA-AZ-6603-01A-11D-1835-10",64,1.68421052631579,0.226396377367077
"TCGA-CM-4747-01A-01D-1408-10",64,1.68421052631579,0.226396377367077
"TCGA-CM-5862-01A-01D-1650-10",64,1.68421052631579,0.226396377367077
"TCGA-D5-6898-01A-11D-1924-10",64,1.68421052631579,0.226396377367077
"TCGA-A6-2682-01A-01D-1408-10",65,1.71052631578947,0.233129760026045
"TCGA-A6-6142-01A-11D-1771-10",65,1.71052631578947,0.233129760026045
"TCGA-CM-6167-01A-11D-1650-10",65,1.71052631578947,0.233129760026045
"TCGA-G4-6323-01A-11D-1719-10",65,1.71052631578947,0.233129760026045
"TCGA-NH-A6GA-01A-11D-A36X-10",65,1.71052631578947,0.233129760026045
"TCGA-A6-6652-01A-11D-1771-10",66,1.73684210526316,0.239760338925059
"TCGA-AA-3655-01A-02D-1719-10",66,1.73684210526316,0.239760338925059
"TCGA-AZ-4681-01A-01D-1408-10",67,1.76315789473684,0.246291206084016
"TCGA-CA-6715-01A-21D-1835-10",67,1.76315789473684,0.246291206084016
"TCGA-CM-5868-01A-01D-1650-10",67,1.76315789473684,0.246291206084016
"TCGA-CM-6166-01A-11D-1650-10",67,1.76315789473684,0.246291206084016
"TCGA-G4-6297-01A-11D-1719-10",67,1.76315789473684,0.246291206084016
"TCGA-A6-2675-01A-02D-1719-10",68,1.78947368421053,0.252725316089426
"TCGA-A6-6651-01A-21D-1835-10",68,1.78947368421053,0.252725316089426
"TCGA-AZ-6605-01A-11D-1835-10",68,1.78947368421053,0.252725316089426
"TCGA-CM-6161-01A-11D-1650-10",69,1.81578947368421,0.259065494120445
"TCGA-CM-6680-01A-11D-1835-10",69,1.81578947368421,0.259065494120445
"TCGA-AA-3509-01A-01D-1408-10",70,1.84210526315789,0.265314443397447
"TCGA-CM-6172-01A-11D-1650-10",70,1.84210526315789,0.265314443397447
"TCGA-DM-A28E-01A-11D-A16V-10",70,1.84210526315789,0.265314443397447
"TCGA-CM-6170-01A-11D-1650-10",71,1.86842105263158,0.271474752102265
"TCGA-4N-A93T-01A-11D-A36X-10",72,1.89473684210526,0.277548899814458
"TCGA-G4-6303-01A-11D-1771-10",72,1.89473684210526,0.277548899814458
"TCGA-DM-A28M-01A-12D-A16V-10",73,1.92105263157895,0.283539263503646
"TCGA-QG-A5YX-01A-11D-A28G-10",73,1.92105263157895,0.283539263503646
"TCGA-AY-A71X-01A-12D-A36X-10",74,1.94736842105263,0.289448123114166
"TCGA-AZ-4616-01A-21D-1835-10",74,1.94736842105263,0.289448123114166
"TCGA-A6-5666-01A-01D-1650-10",75,1.97368421052632,0.29527766677489
"TCGA-AA-3494-01A-01D-1408-10",75,1.97368421052632,0.29527766677489
"TCGA-A6-A56B-01A-31D-A28G-10",76,2,0.301029995663981
"TCGA-CM-5349-01A-21D-1719-10",76,2,0.301029995663981
"TCGA-DM-A282-01A-12D-A16V-10",76,2,0.301029995663981
"TCGA-CM-6676-01A-11D-1835-10",77,2.02631578947368,0.306707128555672
"TCGA-D5-5537-01A-21D-1924-10",77,2.02631578947368,0.306707128555672
"TCGA-D5-6541-01A-11D-1719-10",77,2.02631578947368,0.306707128555672
"TCGA-G4-6317-01A-11D-1719-10",77,2.02631578947368,0.306707128555672
"TCGA-A6-6648-01A-11D-1771-10",78,2.05263157894737,0.31231100607367
"TCGA-AZ-5407-01A-01D-1719-10",78,2.05263157894737,0.31231100607367
"TCGA-CM-6163-01A-11D-1650-10",78,2.05263157894737,0.31231100607367
"TCGA-AA-3489-01A-21D-1835-10",79,2.07894736842105,0.317843494673631
"TCGA-AA-3496-01A-21D-1835-10",79,2.07894736842105,0.317843494673631
"TCGA-CK-4947-01B-11D-1650-10",80,2.10526315789474,0.323306390375133
"TCGA-D5-6539-01A-11D-1719-10",80,2.10526315789474,0.323306390375133
"TCGA-F4-6806-01A-11D-1835-10",80,2.10526315789474,0.323306390375133
"TCGA-F4-6855-01A-11D-1924-10",81,2.13157894736842,0.32870142226184
"TCGA-AU-3779-01A-01D-1719-10",82,2.15789473684211,0.334030255766907
"TCGA-D5-5540-01A-01D-1650-10",82,2.15789473684211,0.334030255766907
"TCGA-QG-A5Z1-01A-11D-A28G-10",82,2.15789473684211,0.334030255766907
"TCGA-D5-6529-01A-11D-1771-10",83,2.18421052631579,0.339294495759264
"TCGA-D5-6922-01A-11D-1924-10",83,2.18421052631579,0.339294495759264
"TCGA-D5-6926-01A-11D-1924-10",83,2.18421052631579,0.339294495759264
"TCGA-A6-6138-01A-11D-1771-10",84,2.21052631578947,0.344495689445072
"TCGA-A6-2680-01A-01D-1408-10",85,2.23684210526316,0.349635329097483
"TCGA-CM-5860-01A-01D-1650-10",85,2.23684210526316,0.349635329097483
"TCGA-CM-6165-01A-11D-1650-10",85,2.23684210526316,0.349635329097483
"TCGA-AD-6888-01A-11D-1924-10",86,2.26315789473684,0.354714854626758
"TCGA-AD-6890-01A-11D-1924-10",86,2.26315789473684,0.354714854626758
"TCGA-D5-6532-01A-11D-1719-10",86,2.26315789473684,0.354714854626758
"TCGA-DM-A28C-01A-11D-A16V-10",86,2.26315789473684,0.354714854626758
"TCGA-A6-2684-01A-01D-A270-10",87,2.28947368421053,0.359735656001808
"TCGA-AY-5543-01A-01D-1650-10",87,2.28947368421053,0.359735656001808
"TCGA-CK-4948-01B-11D-1650-10",87,2.28947368421053,0.359735656001808
"TCGA-D5-5538-01A-01D-1650-10",87,2.28947368421053,0.359735656001808
"TCGA-D5-6536-01A-11D-1719-10",87,2.28947368421053,0.359735656001808
"TCGA-D5-6537-01A-11D-1719-10",87,2.28947368421053,0.359735656001808
"TCGA-NH-A8F8-01A-72D-A40P-10",87,2.28947368421053,0.359735656001808
"TCGA-A6-6649-01A-11D-1771-10",88,2.31578947368421,0.364699075533359
"TCGA-AA-3495-01A-01D-1408-10",88,2.31578947368421,0.364699075533359
"TCGA-AY-6386-01A-21D-1719-10",88,2.31578947368421,0.364699075533359
"TCGA-CM-6169-01A-11D-1650-10",88,2.31578947368421,0.364699075533359
"TCGA-DM-A1D0-01A-11D-A152-10",90,2.36842105263158,0.374458912822515
"TCGA-A6-5657-01A-01D-1650-10",91,2.39473684210526,0.379257795704283
"TCGA-D5-6920-01A-11D-1924-10",92,2.42105263157895,0.384004230728745
"TCGA-AA-3511-01A-21D-1835-10",93,2.44736842105263,0.388699351937125
"TCGA-DM-A28G-01A-11D-A16V-10",93,2.44736842105263,0.388699351937125
"TCGA-G4-6293-01A-11D-1719-10",93,2.44736842105263,0.388699351937125
"TCGA-AD-6548-01A-11D-1835-10",94,2.47368421052632,0.393344256982889
"TCGA-CA-6719-01A-11D-1835-10",95,2.5,0.397940008672038
"TCGA-G4-6306-01A-11D-1771-10",95,2.5,0.397940008672038
"TCGA-AD-6965-01A-11D-1924-10",96,2.52631578947368,0.402487636422758
"TCGA-F4-6569-01A-11D-1771-10",96,2.52631578947368,0.402487636422758
"TCGA-A6-6137-01A-11D-1771-10",98,2.57894736842105,0.411442479075685
"TCGA-F4-6854-01A-11D-1924-10",98,2.57894736842105,0.411442479075685
"TCGA-CM-4752-01A-01D-1408-10",99,2.60526315789474,0.41585159798074
"TCGA-3L-AA1B-01A-11D-A36X-10",100,2.63157894736842,0.42021640338319
"TCGA-AZ-6606-01A-11D-1835-10",100,2.63157894736842,0.42021640338319
"TCGA-5M-AATE-01A-11D-A40P-10",101,2.65789473684211,0.424537777165832
"TCGA-G4-6626-01A-11D-1771-10",101,2.65789473684211,0.424537777165832
"TCGA-A6-5660-01A-01D-1650-10",102,2.68421052631579,0.428816575145107
"TCGA-DM-A28H-01A-11D-A16V-10",102,2.68421052631579,0.428816575145107
"TCGA-RU-A8FL-01A-11D-A36X-10",102,2.68421052631579,0.428816575145107
"TCGA-F4-6808-01A-11D-1835-10",103,2.71052631578947,0.433053628088362
"TCGA-NH-A8F7-01A-11D-A40P-10",103,2.71052631578947,0.433053628088362
"TCGA-A6-6650-01A-11D-1771-10",104,2.73684210526316,0.43724974268197
"TCGA-AA-3712-01A-21D-1719-10",104,2.73684210526316,0.43724974268197
"TCGA-DM-A28A-01A-21D-A16V-10",104,2.73684210526316,0.43724974268197
"TCGA-F4-6459-01A-11D-1771-10",104,2.73684210526316,0.43724974268197
"TCGA-D5-6929-01A-31D-1924-10",106,2.78947368421053,0.44552226864796
"TCGA-DM-A1D9-01A-11D-A152-10",106,2.78947368421053,0.44552226864796
"TCGA-AA-3660-01A-01D-1719-10",107,2.81578947368421,0.449600181068399
"TCGA-CM-6678-01A-11D-1835-10",108,2.84210526315789,0.45364015887014
"TCGA-G4-6311-01A-11D-1719-10",109,2.86842105263158,0.457642901323813
"TCGA-A6-6782-01A-11D-1835-10",110,2.89473684210526,0.461609088541415
"TCGA-CM-6677-01A-11D-1835-10",110,2.89473684210526,0.461609088541415
"TCGA-D5-6932-01A-11D-1924-10",110,2.89473684210526,0.461609088541415
"TCGA-A6-2681-01A-01D-1408-10",111,2.92105263157895,0.465539382169847
"TCGA-D5-6924-01A-11D-1924-10",111,2.92105263157895,0.465539382169847
"TCGA-NH-A50T-01A-11D-A28G-10",111,2.92105263157895,0.465539382169847
"TCGA-CK-5914-01A-11D-1650-10",112,2.94736842105263,0.469434426053371
"TCGA-F4-6461-01A-11D-1771-10",112,2.94736842105263,0.469434426053371
"TCGA-D5-6538-01A-11D-1719-10",113,2.97368421052632,0.47329484686661
"TCGA-F4-6460-01A-11D-1771-10",113,2.97368421052632,0.47329484686661
"TCGA-AZ-6600-01A-11D-1771-10",114,3,0.477121254719662
"TCGA-CA-6716-01A-11D-1835-10",118,3.10526315789474,0.492098410689315
"TCGA-G4-6315-01A-11D-1719-10",118,3.10526315789474,0.492098410689315
"TCGA-AY-A54L-01A-11D-A28G-10",119,3.13157894736842,0.495763364775721
"TCGA-CM-4744-01A-01D-1408-10",119,3.13157894736842,0.495763364775721
"TCGA-NH-A50V-01A-11D-A28G-10",119,3.13157894736842,0.495763364775721
"TCGA-A6-2679-01A-02D-1408-10",120,3.15789473684211,0.499397649430815
"TCGA-DM-A1HA-01A-11D-A152-10",120,3.15789473684211,0.499397649430815
"TCGA-G4-6295-01A-11D-1719-10",122,3.21052631578947,0.506576234057938
"TCGA-F4-6809-01A-11D-1835-10",123,3.23684210526316,0.510121514822588
"TCGA-DM-A1D8-01A-11D-A152-10",124,3.26315789473684,0.513638088545425
"TCGA-NH-A6GB-01A-11D-A36X-10",126,3.31578947368421,0.520586948500753
"TCGA-A6-3810-01A-01D-A270-10",127,3.34210526315789,0.524020124339147
"TCGA-D5-6533-01A-11D-1719-10",128,3.36842105263158,0.527426373031058
"TCGA-CM-5341-01A-01D-1408-10",130,3.42105263157895,0.534159755690027
"TCGA-G4-6299-01A-11D-1771-10",130,3.42105263157895,0.534159755690027
"TCGA-DM-A0XD-01A-12D-A152-10",131,3.44736842105263,0.537487699038954
"TCGA-G4-6294-01A-11D-1806-10",131,3.44736842105263,0.537487699038954
"TCGA-QG-A5YV-01A-11D-A28G-10",132,3.47368421052632,0.54079033458904
"TCGA-SS-A7HO-01A-21D-A36X-10",132,3.47368421052632,0.54079033458904
"TCGA-A6-4105-01A-02D-1771-10",134,3.52631578947368,0.547321201747997
"TCGA-F4-6807-01A-11D-1835-10",134,3.52631578947368,0.547321201747997
"TCGA-D5-6535-01A-11D-1719-10",137,3.60526315789474,0.556936970539597
"TCGA-CM-5348-01A-21D-1719-10",140,3.68421052631579,0.566344439061428
"TCGA-DM-A1D4-01A-21D-A152-10",140,3.68421052631579,0.566344439061428
"TCGA-CK-6747-01A-11D-1835-10",141,3.71052631578947,0.56943551603857
"TCGA-T9-A92H-01A-11D-A36X-10",141,3.71052631578947,0.56943551603857
"TCGA-A6-6654-01A-21D-1835-10",143,3.76315789473684,0.575552440848252
"TCGA-AZ-4614-01A-01D-1408-10",143,3.76315789473684,0.575552440848252
"TCGA-A6-4107-01A-02D-1408-10",145,3.81578947368421,0.581584405618165
"TCGA-AA-3502-01A-01D-1408-10",148,3.89473684210526,0.590478118778147
"TCGA-5M-AAT4-01A-11D-A40P-10",150,3.94736842105263,0.596307662438871
"TCGA-CM-5864-01A-01D-1650-10",151,3.97368421052632,0.599193350676359
"TCGA-DM-A0X9-01A-11D-A152-10",151,3.97368421052632,0.599193350676359
"TCGA-D5-6531-01A-11D-1719-10",155,4.07894736842105,0.610548101553481
"TCGA-AY-A69D-01A-11D-A36X-10",161,4.23684210526316,0.62704227941504
"TCGA-CA-5254-01A-21D-1835-10",165,4.34210526315789,0.637700347597096
"TCGA-CM-6168-01A-11D-1650-10",177,4.65789473684211,0.668189669744996
"TCGA-QL-A97D-01A-12D-A40P-10",189,4.97368421052632,0.696678207556434
"TCGA-AZ-6599-01A-11D-1771-10",190,5,0.698970004336019
"TCGA-DM-A28F-01A-11D-A16V-10",191,5.02631578947368,0.701249770630917
"TCGA-AD-6901-01A-11D-1924-10",207,5.44736842105263,0.736186748840108
"TCGA-DM-A1DA-01A-11D-A152-10",237,6.23684210526316,0.794964749393294
"TCGA-D5-6931-01A-11D-1924-10",249,6.55263157894737,0.816415750478926
"TCGA-F4-6703-01A-11D-1835-10",374,9.8421052631579,0.99308800558367
"TCGA-CM-4746-01A-01D-1408-10",672,17.6842105263158,1.24758567643702
"TCGA-CK-5913-01A-11D-1650-10",737,19.3947368421053,1.28768389124224
"TCGA-G4-6309-01A-21D-1835-10",737,19.3947368421053,1.28768389124224
"TCGA-G4-6304-01A-11D-1924-10",793,20.8684210526316,1.31948959070079
"TCGA-AU-6004-01A-11D-1719-10",891,23.4473684210526,1.37009410742006
"TCGA-G4-6320-01A-11D-1719-10",913,24.0263157894737,1.38068718091749
"TCGA-QG-A5Z2-01A-11D-A28G-10",932,24.5263157894737,1.38963231573717
"TCGA-AZ-4615-01A-01D-1408-10",937,24.6578947368421,1.39195599427097
"TCGA-AA-3713-01A-21D-1719-10",950,25,1.39794000867204
"TCGA-D5-6530-01A-11D-1719-10",975,25.6578947368421,1.40922101908173
"TCGA-AY-6197-01A-11D-1719-10",989,26.0263157894737,1.41541269498037
"TCGA-A6-6653-01A-11D-1771-10",994,26.1578947368421,1.4176027877805
"TCGA-G4-6586-01A-11D-1771-10",1050,27.6315789473684,1.44140570245313
"TCGA-CM-4743-01A-01D-1719-10",1079,28.3947368421053,1.4532378480661
"TCGA-CM-6171-01A-11D-1650-10",1079,28.3947368421053,1.4532378480661
"TCGA-A6-5661-01A-01D-1650-10",1091,28.7105263157895,1.45804115397153
"TCGA-AM-5821-01A-01D-1650-10",1106,29.1052631578947,1.46397153035187
"TCGA-CK-6746-01A-11D-1835-10",1106,29.1052631578947,1.46397153035187
"TCGA-CM-5861-01A-01D-1650-10",1280,33.6842105263158,1.52742637303106
"TCGA-CK-5916-01A-11D-1650-10",1291,33.9736842105263,1.53114264564961
"TCGA-AD-6964-01A-11D-1924-10",1342,35.3157894736842,1.54796891921616
"TCGA-AD-A5EJ-01A-11D-A28G-10",1380,36.3157894736842,1.56009548978443
"TCGA-AD-6895-01A-11D-1924-10",1417,37.2894736842105,1.57158625363065
"TCGA-F4-6570-01A-11D-1771-10",1514,39.8421052631579,1.60034227854724
"TCGA-AD-6889-01A-11D-1924-10",1562,41.1052631578947,1.61389743292447
"TCGA-A6-5665-01A-01D-1650-10",1629,42.8684210526316,1.6321374876917
"TCGA-G4-6628-01A-11D-1835-10",1757,46.2368421052632,1.66498816487848
"TCGA-5M-AAT6-01A-11D-A40P-10",1758,46.2631578947368,1.66523527412094
"TCGA-AA-3663-01A-01D-1719-10",1770,46.5789473684211,1.668189669745
"TCGA-AA-3492-01A-01D-1408-10",1847,48.6052631578947,1.68668329882343
"TCGA-G4-6588-01A-11D-1771-10",1853,48.7631578947368,1.68809182270209
"TCGA-A6-2686-01A-01D-1408-10",1937,50.9736842105263,1.7073460241023
"TCGA-AZ-6598-01A-11D-1771-10",2165,56.9736842105263,1.75567430407257
"TCGA-NH-A5IV-01A-42D-A36X-10",2195,57.7631578947368,1.76165092796133
"TCGA-AA-3510-01A-01D-1408-10",2716,71.4736842105263,1.85414616899165
"TCGA-CA-6718-01A-11D-1835-10",2951,77.6578947368421,1.89018561288315
"TCGA-AZ-4315-01A-01D-1408-10",5555,146.184210526316,2.16490046666008
